,carat,cut,color,clarity,depth,table,price,x,y,z
9127,1.12,Ideal,3,1,62.4,56.0,4712,6.63,6.67,4.15
9128,1.02,Ideal,5,1,60.3,57.0,4712,6.5,6.53,3.95
9129,1.0,Good,4,2,63.3,61.0,4712,6.29,6.31,3.99
9130,1.0,Very Good,4,2,61.8,59.0,4712,6.33,6.38,3.93
9131,1.02,Good,5,1,63.4,57.0,4712,6.41,6.43,4.07
9132,1.02,Good,5,1,63.2,56.0,4712,6.37,6.41,4.04
9133,1.02,Very Good,6,1,62.7,59.0,4712,6.36,6.44,4.01
9134,0.9,Good,4,2,63.6,55.0,4712,6.15,6.12,3.9
9135,1.13,Ideal,3,1,61.3,57.0,4712,6.73,6.67,4.11
9136,1.1,Premium,3,2,59.6,60.0,4712,6.74,6.7,4.0
9137,0.9,Very Good,6,3,63.2,58.0,4712,6.16,6.09,3.87
9138,1.0,Ideal,2,1,61.4,60.0,4713,6.35,6.41,3.92
9139,1.05,Ideal,5,1,60.3,61.0,4714,6.56,6.6,3.97
9140,1.22,Ideal,1,1,60.7,57.0,4714,6.92,6.88,4.19
9141,1.31,Very Good,3,1,63.4,58.0,4714,6.91,6.8,4.35
9142,0.9,Very Good,4,3,63.2,59.0,4715,6.08,6.04,3.83
9143,0.9,Very Good,4,3,63.2,57.0,4715,6.12,6.07,3.85
9144,1.2,Premium,0,3,60.3,59.0,4715,6.9,6.94,4.17
9145,1.1,Very Good,4,1,59.1,57.0,4715,6.72,6.82,4.0
9146,0.73,Very Good,6,6,61.8,61.0,4716,5.7,5.73,3.53
9147,1.07,Very Good,2,1,62.1,58.0,4716,6.53,6.57,4.07
9148,1.2,Premium,0,2,60.0,61.0,4717,6.89,6.84,4.12
9149,1.08,Premium,2,1,61.2,58.0,4717,6.62,6.58,4.04
9150,1.0,Very Good,0,6,63.5,59.0,4717,6.34,6.29,4.01
9151,0.9,Premium,6,3,61.6,62.0,4717,6.12,6.09,3.76
9152,1.04,Premium,4,1,60.2,58.0,4717,6.6,6.55,3.96
9153,1.02,Very Good,3,2,63.2,59.0,4718,6.41,6.37,4.04
9154,1.02,Premium,3,2,62.3,59.0,4718,6.44,6.4,4.0
9155,1.02,Premium,3,2,63.0,55.0,4718,6.45,6.4,4.05
9156,1.02,Premium,3,2,60.8,58.0,4718,6.5,6.46,3.94
9157,1.02,Premium,3,2,61.0,59.0,4718,6.48,6.44,3.94
9158,1.02,Very Good,6,1,63.4,59.0,4718,6.41,6.37,4.05
9159,1.02,Premium,6,1,61.5,56.0,4718,6.51,6.47,3.99
9160,1.02,Premium,6,1,60.3,58.0,4718,6.52,6.48,3.92
9161,1.01,Very Good,3,2,60.0,58.0,4719,6.51,6.55,3.92
9162,1.01,Very Good,3,2,60.2,58.0,4719,6.5,6.59,3.94
9163,1.01,Good,6,1,63.6,57.0,4719,6.35,6.39,4.05
9164,1.01,Premium,3,2,59.8,58.0,4719,6.54,6.58,3.92
9165,1.01,Very Good,6,1,61.5,56.0,4719,6.39,6.46,3.95
9166,1.0,Very Good,5,2,61.0,61.0,4719,6.4,6.45,3.92
9167,1.11,Ideal,2,1,62.6,56.0,4719,6.58,6.65,4.14
9168,1.06,Premium,4,1,62.5,58.0,4719,6.54,6.41,4.05
9169,1.32,Premium,1,4,62.4,58.0,4719,7.01,6.96,4.36
9170,1.12,Premium,2,2,61.6,58.0,4719,6.72,6.62,4.11
9171,0.91,Very Good,6,3,62.7,59.0,4720,6.13,6.16,3.85
9172,1.12,Ideal,4,1,61.6,57.0,4720,6.68,6.66,4.11
9173,0.97,Premium,6,2,62.0,60.0,4721,6.25,6.29,3.89
9174,1.06,Very Good,4,2,62.5,58.0,4721,6.46,6.5,4.05
9175,1.0,Ideal,4,1,62.7,57.0,4721,6.37,6.42,4.01
9176,0.92,Very Good,2,4,59.7,63.0,4721,6.34,6.29,3.77
9177,1.0,Good,2,3,63.6,61.0,4722,6.25,6.21,3.96
9178,1.05,Ideal,1,1,61.8,59.0,4723,6.53,6.49,4.02
9179,1.04,Premium,6,1,61.0,59.0,4724,6.51,6.54,3.98
9180,1.04,Very Good,3,2,59.2,61.0,4724,6.63,6.68,3.94
9181,1.12,Very Good,1,2,61.7,58.1,4724,6.6,6.66,4.09
9182,1.02,Ideal,2,2,60.0,59.0,4724,6.56,6.55,3.93
9183,0.9,Ideal,4,2,61.3,56.0,4724,6.21,6.23,3.81
9184,0.93,Ideal,6,2,61.6,57.0,4724,6.27,6.33,3.88
9185,1.14,Ideal,1,2,61.8,57.0,4724,6.76,6.68,4.15
9186,1.0,Premium,2,2,62.7,58.0,4724,6.41,6.32,3.99
9187,1.25,Good,1,1,63.9,56.0,4725,6.81,6.77,4.34
9188,1.17,Ideal,3,1,61.1,56.0,4725,6.8,6.86,4.17
9189,1.0,Very Good,3,1,62.6,58.0,4725,6.34,6.38,3.98
9190,1.1,Fair,6,1,64.6,54.0,4725,6.56,6.49,4.22
9191,1.1,Premium,1,2,61.2,61.0,4725,6.66,6.61,4.01
9192,1.1,Ideal,2,1,63.1,58.0,4725,6.54,6.53,4.12
9193,1.1,Premium,6,1,62.4,58.0,4725,6.6,6.57,4.11
9194,0.97,Premium,4,2,59.9,59.0,4726,6.39,6.36,3.82
9195,1.01,Very Good,6,1,61.9,58.0,4727,6.43,6.49,4.0
9196,1.02,Very Good,2,2,61.6,58.0,4727,6.49,6.54,4.01
9197,1.0,Good,6,1,61.1,61.0,4727,6.37,6.43,3.91
9198,1.23,Good,0,3,63.6,60.0,4727,6.77,6.73,4.29
9199,1.07,Very Good,1,2,59.1,59.0,4728,6.68,6.71,3.96
9200,0.91,Premium,5,2,59.8,59.0,4729,6.28,6.23,3.74
9201,1.05,Ideal,4,2,61.8,57.0,4729,6.51,6.54,4.03
9202,1.0,Premium,6,1,62.4,58.0,4730,6.33,6.36,3.96
9203,1.38,Fair,3,1,61.2,59.0,4730,7.19,7.13,4.38
9204,1.03,Premium,5,1,61.8,56.0,4730,6.5,6.47,4.01
9205,0.91,Ideal,3,2,61.9,56.0,4731,6.22,6.18,3.84
9206,1.3,Premium,2,1,60.4,61.0,4732,7.09,7.04,4.27
9207,1.0,Very Good,2,4,63.3,53.0,4732,6.37,6.29,4.01
9208,1.0,Premium,2,4,62.7,58.0,4732,6.37,6.33,3.98
9209,1.0,Premium,2,4,59.1,60.0,4732,6.45,6.42,3.8
9210,1.0,Fair,2,4,64.1,60.0,4732,6.3,6.22,4.01
9211,1.1,Ideal,2,1,62.0,55.0,4733,6.61,6.65,4.11
9212,1.08,Ideal,3,1,62.1,57.0,4733,6.56,6.58,4.08
9213,1.09,Ideal,3,1,61.7,57.0,4733,6.57,6.62,4.07
9214,1.22,Premium,1,1,61.5,61.0,4735,6.89,6.83,4.22
9215,0.9,Premium,6,2,59.4,61.0,4735,6.32,6.3,3.75
9216,0.9,Premium,6,2,63.0,56.0,4735,6.14,6.09,3.85
9217,1.22,Premium,1,1,61.7,59.0,4735,6.84,6.8,4.21
9218,1.0,Good,3,2,63.9,60.0,4737,6.22,6.27,3.99
9219,1.0,Ideal,3,2,62.7,56.0,4737,6.36,6.39,4.0
9220,1.24,Very Good,0,1,60.4,61.0,4737,6.85,6.92,4.16
9221,1.33,Premium,4,1,60.4,60.0,4737,7.17,7.11,4.31
9222,1.14,Premium,4,1,62.9,59.0,4737,6.64,6.62,4.17
9223,1.06,Premium,5,1,60.5,60.0,4737,6.67,6.61,4.02
9224,0.95,Very Good,5,2,61.6,56.0,4738,6.31,6.36,3.9
9225,1.02,Ideal,1,2,62.0,56.0,4738,6.44,6.46,4.0
9226,1.0,Very Good,1,3,64.0,54.0,4739,6.28,6.34,4.04
9227,0.9,Good,6,3,62.6,62.0,4739,6.11,6.15,3.84
9228,1.05,Premium,2,3,60.5,58.0,4739,6.7,6.63,4.03
9229,0.91,Premium,5,3,62.8,59.0,4739,6.17,6.15,3.87
9230,0.91,Premium,5,3,61.6,58.0,4739,6.2,6.18,3.81
9231,0.91,Very Good,4,4,63.5,56.0,4739,6.18,6.14,3.91
9232,0.93,Premium,5,2,62.8,56.0,4739,6.26,6.2,3.91
9233,1.08,Premium,2,2,61.7,59.0,4740,6.56,6.6,4.06
9234,1.08,Ideal,2,2,62.7,57.0,4740,6.48,6.51,4.07
9235,0.9,Very Good,2,5,62.4,58.0,4740,6.12,6.15,3.83
9236,0.8,Ideal,3,5,61.5,55.0,4740,5.95,5.99,3.68
9237,0.8,Ideal,3,5,61.4,57.0,4740,5.96,6.0,3.67
9238,1.04,Ideal,4,1,61.2,57.0,4740,6.54,6.6,4.02
9239,0.9,Ideal,2,2,61.6,56.0,4740,6.17,6.23,3.82
9240,1.21,Premium,4,1,61.5,57.0,4740,6.93,6.88,4.25
9241,1.0,Very Good,3,2,59.3,63.0,4741,6.44,6.48,3.83
9242,1.04,Premium,3,2,60.6,61.0,4742,6.63,6.59,4.0
9243,1.05,Premium,5,1,59.5,59.0,4742,6.65,6.59,3.94
9244,1.02,Ideal,2,1,59.8,58.0,4742,6.55,6.59,3.93
9245,1.08,Good,5,1,63.7,57.0,4742,6.54,6.49,4.15
9246,1.05,Premium,5,1,60.4,58.0,4742,6.59,6.55,3.97
9247,1.16,Ideal,1,2,61.5,60.0,4742,6.76,6.71,4.14
9248,1.08,Premium,5,1,60.2,58.0,4742,6.68,6.61,4.0
9249,1.26,Ideal,0,1,62.5,53.0,4742,6.9,6.86,4.3
9250,1.21,Premium,2,2,60.5,60.0,4743,6.81,6.72,4.09
9251,1.15,Premium,2,1,61.6,60.0,4743,6.72,6.75,4.15
9252,1.15,Very Good,2,1,62.0,58.0,4743,6.66,6.7,4.14
9253,1.0,Ideal,5,1,61.8,57.0,4743,6.39,6.43,3.96
9254,1.01,Very Good,2,2,62.7,58.0,4743,6.36,6.34,3.98
9255,1.31,Premium,4,1,62.7,61.0,4743,7.03,6.86,4.36
9256,0.97,Ideal,3,1,61.6,56.0,4743,6.31,6.39,3.91
9257,1.01,Good,5,2,62.6,61.0,4743,6.38,6.43,4.01
9258,1.11,Premium,1,3,63.0,53.0,4744,6.64,6.59,4.17
9259,1.2,Ideal,0,1,63.3,54.0,4744,6.78,6.72,4.27
9260,1.2,Ideal,0,1,61.7,56.0,4744,6.87,6.79,4.21
9261,0.91,Good,3,4,64.1,60.0,4744,6.11,6.06,3.9
9262,1.03,Very Good,2,1,61.3,56.0,4745,6.5,6.53,3.99
9263,1.06,Ideal,1,2,61.9,54.0,4745,6.56,6.59,4.07
9264,1.01,Premium,2,3,62.6,60.0,4745,6.39,6.36,3.99
9265,1.19,Premium,1,1,62.6,58.0,4745,6.75,6.7,4.21
9266,1.02,Ideal,4,1,61.8,57.0,4746,6.43,6.49,3.99
9267,0.91,Very Good,6,2,62.3,60.0,4746,6.15,6.21,3.85
9268,1.03,Very Good,3,2,61.0,58.0,4746,6.5,6.54,3.98
9269,1.26,Fair,6,1,64.5,59.0,4746,6.75,6.71,4.34
9270,1.02,Ideal,2,2,62.5,57.0,4746,6.41,6.46,4.02
9271,1.13,Premium,1,2,62.8,57.0,4746,6.68,6.64,4.18
9272,1.18,Premium,2,2,60.1,60.0,4746,6.89,6.75,4.1
9273,1.13,Premium,2,1,62.7,55.0,4746,6.69,6.61,4.17
9274,0.94,Premium,4,2,59.8,61.0,4748,6.39,6.35,3.81
9275,1.0,Very Good,4,1,63.3,60.0,4749,6.32,6.25,3.98
9276,1.01,Good,2,2,63.4,59.0,4749,6.28,6.34,4.0
9277,1.01,Ideal,2,2,62.6,55.0,4749,6.39,6.43,4.01
9278,1.01,Good,2,2,63.1,59.0,4749,6.32,6.36,4.0
9279,1.01,Good,2,2,63.7,60.0,4749,6.3,6.35,4.03
9280,1.01,Very Good,1,2,63.3,54.0,4749,6.34,6.36,4.02
9281,1.0,Premium,4,1,61.4,61.0,4749,6.47,6.4,3.95
9282,1.06,Ideal,1,2,61.2,56.0,4749,6.6,6.57,4.03
9283,1.06,Ideal,2,1,59.9,58.0,4749,6.67,6.63,3.98
9284,1.1,Ideal,3,1,62.1,56.0,4750,6.63,6.61,4.11
9285,0.93,Premium,3,3,62.2,59.0,4750,6.26,6.21,3.88
9286,1.01,Premium,5,1,61.6,56.0,4751,6.45,6.4,3.96
9287,0.81,Ideal,3,7,62.4,54.0,4751,5.93,5.99,3.72
9288,1.01,Fair,6,2,63.5,58.0,4751,6.35,6.25,4.0
9289,1.01,Fair,2,3,64.5,60.0,4751,6.3,6.25,4.05
9290,1.01,Premium,5,1,62.6,59.0,4751,6.39,6.36,3.99
9291,1.01,Premium,5,1,61.5,58.0,4751,6.43,6.4,3.95
9292,1.01,Good,5,1,63.7,58.0,4751,6.36,6.32,4.04
9293,1.01,Ideal,5,1,61.2,54.0,4751,6.52,6.49,3.98
9294,1.01,Premium,5,1,59.5,59.0,4751,6.58,6.54,3.9
9295,1.01,Ideal,5,1,62.2,54.0,4751,6.43,6.39,3.99
9296,1.01,Premium,5,1,62.6,57.0,4751,6.35,6.33,3.97
9297,1.01,Fair,6,2,64.6,60.0,4751,6.12,6.08,3.94
9298,1.01,Premium,6,2,62.8,58.0,4751,6.37,6.3,3.98
9299,1.01,Ideal,5,1,59.2,56.0,4751,6.63,6.59,3.91
9300,1.01,Ideal,5,1,61.1,57.0,4751,6.52,6.48,3.97
9301,1.2,Good,1,2,63.1,58.0,4752,6.66,6.72,4.22
9302,1.2,Very Good,0,2,61.4,59.0,4752,6.82,6.87,4.2
9303,1.03,Ideal,6,1,60.7,55.0,4752,6.53,6.61,3.99
9304,1.07,Ideal,3,1,62.1,55.0,4752,6.54,6.61,4.08
9305,1.04,Ideal,3,1,62.0,56.0,4752,6.52,6.49,4.03
9306,1.0,Very Good,6,1,62.8,58.0,4753,6.33,6.37,3.99
9307,1.01,Ideal,6,1,61.2,56.0,4753,6.41,6.46,3.94
9308,1.21,Very Good,0,3,59.9,59.0,4754,6.86,6.92,4.13
9309,1.02,Premium,2,2,59.2,58.0,4754,6.6,6.57,3.9
9310,1.04,Ideal,4,1,62.1,57.0,4754,6.48,6.46,4.02
9311,0.96,Very Good,4,2,62.1,62.0,4755,6.24,6.32,3.9
9312,1.11,Premium,3,1,62.3,58.0,4755,6.65,6.61,4.13
9313,1.11,Premium,3,1,61.2,59.0,4755,6.74,6.66,4.1
9314,1.11,Ideal,3,1,60.5,56.0,4755,6.71,6.67,4.05
9315,1.11,Premium,3,1,61.5,58.0,4755,6.67,6.6,4.08
9316,1.01,Very Good,1,4,62.2,60.0,4756,6.39,6.35,3.96
9317,1.08,Ideal,1,2,60.3,60.0,4757,6.67,6.62,4.01
9318,1.03,Ideal,5,1,62.3,56.0,4758,6.44,6.52,4.04
9319,1.03,Premium,5,1,61.8,59.0,4758,6.42,6.47,3.98
9320,1.0,Premium,6,1,61.6,60.0,4758,6.37,6.33,3.91
9321,1.2,Very Good,6,1,63.5,59.0,4758,6.61,6.56,4.18
9322,0.91,Very Good,5,3,62.2,60.0,4759,6.13,6.21,3.84
9323,1.01,Good,4,2,63.5,59.0,4759,6.3,6.39,4.03
9324,1.01,Very Good,4,2,62.8,58.0,4759,6.35,6.43,4.01
9325,1.01,Very Good,1,2,62.9,58.0,4759,6.36,6.4,4.01
9326,1.03,Ideal,2,2,61.0,55.0,4759,6.56,6.59,4.01
9327,0.9,Very Good,5,2,62.8,58.0,4760,6.09,6.13,3.84
9328,1.01,Very Good,6,1,62.9,60.0,4760,6.35,6.46,4.03
9329,1.0,Ideal,5,1,61.9,56.0,4760,6.43,6.4,3.97
9330,1.0,Good,1,3,61.7,60.2,4761,6.29,6.35,3.9
9331,1.19,Premium,0,3,62.8,57.0,4761,6.78,6.7,4.23
9332,1.09,Premium,2,1,59.6,61.0,4761,6.69,6.63,3.97
9333,1.02,Very Good,1,3,59.3,59.0,4762,6.57,6.62,3.91
9334,1.18,Very Good,1,1,63.5,57.0,4763,6.75,6.8,4.3
9335,0.99,Ideal,1,2,61.8,57.0,4763,6.4,6.42,3.96
9336,0.9,Good,2,6,63.8,59.0,4763,6.13,6.09,3.9
9337,1.05,Very Good,5,1,63.3,57.0,4763,6.5,6.46,4.1
9338,1.1,Ideal,2,2,62.5,57.0,4764,6.6,6.56,4.11
9339,1.25,Ideal,0,2,62.7,57.0,4764,6.86,6.88,4.31
9340,0.81,Ideal,5,4,61.6,55.0,4764,5.96,6.02,3.69
9341,1.03,Premium,6,1,61.7,58.0,4764,6.5,6.47,4.0
9342,1.03,Very Good,3,2,63.2,58.0,4764,6.43,6.38,4.05
9343,1.03,Ideal,6,1,62.8,56.0,4764,6.46,6.43,4.05
9344,1.03,Premium,6,1,61.3,61.0,4764,6.49,6.46,3.97
9345,1.03,Ideal,6,1,61.2,57.0,4764,6.59,6.51,4.01
9346,1.03,Ideal,3,2,62.4,57.0,4764,6.52,6.47,4.05
9347,1.07,Ideal,1,3,62.1,56.0,4764,6.61,6.53,4.08
9348,1.03,Premium,6,1,62.5,54.0,4764,6.5,6.42,4.04
9349,1.03,Very Good,3,2,63.1,57.0,4764,6.45,6.41,4.06
9350,1.07,Premium,2,2,60.7,60.0,4764,6.64,6.61,4.02
9351,1.03,Ideal,6,1,61.8,56.0,4764,6.51,6.46,4.01
9352,1.07,Ideal,4,1,62.0,57.0,4764,6.6,6.49,4.06
9353,1.07,Ideal,4,1,61.5,57.0,4764,6.6,6.57,4.05
9354,0.91,Fair,6,3,64.5,55.0,4765,6.24,6.07,3.97
9355,1.15,Very Good,0,3,62.9,57.0,4766,6.73,6.63,4.2
9356,1.13,Very Good,1,2,61.5,60.0,4766,6.68,6.72,4.12
9357,1.12,Good,1,3,63.8,55.0,4766,6.57,6.63,4.21
9358,1.02,Very Good,3,2,60.8,60.0,4766,6.5,6.55,3.97
9359,1.01,Good,5,2,64.3,59.0,4766,6.31,6.34,4.07
9360,1.01,Very Good,5,2,62.9,59.0,4766,6.3,6.38,3.99
9361,1.09,Good,4,1,63.2,58.0,4766,6.49,6.54,4.12
9362,1.02,Ideal,2,1,61.4,58.0,4766,6.47,6.52,3.99
9363,1.0,Ideal,5,1,61.9,56.0,4766,6.39,6.43,3.97
9364,1.15,Very Good,2,1,63.2,58.0,4767,6.64,6.68,4.21
9365,1.01,Ideal,2,2,61.9,58.0,4767,6.42,6.48,3.99
9366,1.11,Premium,3,2,61.5,58.0,4768,6.73,6.63,4.1
9367,1.03,Very Good,3,1,63.9,59.0,4769,6.33,6.39,4.07
9368,1.06,Very Good,3,1,61.0,57.0,4769,6.58,6.61,4.02
9369,1.11,Very Good,5,1,62.0,58.0,4769,6.61,6.68,4.12
9370,1.01,Premium,2,3,62.4,58.0,4769,6.42,6.36,3.99
9371,1.01,Premium,2,3,62.3,62.0,4769,6.39,6.35,3.97
9372,1.03,Ideal,4,1,61.6,55.0,4769,6.49,6.46,3.99
9373,1.21,Premium,0,2,59.9,60.0,4770,6.89,6.86,4.12
9374,0.9,Ideal,5,3,62.7,56.0,4770,6.14,6.18,3.86
9375,0.9,Good,5,3,63.7,54.0,4770,6.13,6.15,3.91
9376,0.9,Premium,4,4,59.0,58.0,4770,6.29,6.33,3.72
9377,0.9,Good,4,4,62.8,57.0,4770,6.04,6.1,3.81
9378,0.9,Ideal,5,1,61.8,56.0,4770,6.18,6.22,3.83
9379,0.91,Fair,5,4,64.5,58.0,4770,6.14,6.1,3.95
9380,1.04,Premium,4,2,61.5,59.0,4770,6.53,6.47,4.0
9381,1.04,Ideal,4,2,62.2,57.0,4770,6.5,6.4,4.01
9382,1.01,Premium,2,2,59.5,59.0,4771,6.56,6.52,3.89
9383,1.11,Ideal,1,2,62.3,58.0,4771,6.6,6.65,4.13
9384,1.2,Ideal,2,3,62.8,57.0,4771,6.71,6.67,4.2
9385,1.01,Premium,2,2,60.7,58.0,4771,6.49,6.45,3.93
9386,1.08,Ideal,3,2,61.4,56.0,4771,6.62,6.6,4.06
9387,1.15,Premium,2,2,60.2,60.0,4772,6.87,6.78,4.11
9388,1.23,Ideal,1,1,62.3,55.0,4773,6.85,6.82,4.26
9389,0.9,Ideal,3,3,61.7,56.0,4773,6.19,6.26,3.84
9390,1.01,Ideal,2,2,62.9,55.0,4773,6.35,6.4,4.01
9391,1.01,Ideal,2,2,62.2,58.0,4773,6.37,6.43,3.98
9392,1.23,Premium,1,1,62.1,59.0,4773,6.83,6.79,4.23
9393,1.06,Premium,4,2,61.9,58.0,4774,6.53,6.58,4.06
9394,1.0,Ideal,6,2,60.2,57.0,4774,6.48,6.54,3.92
9395,1.06,Premium,4,2,62.4,58.0,4774,6.51,6.56,4.07
9396,1.01,Premium,4,2,62.2,58.0,4775,6.35,6.28,3.93
9397,0.91,Ideal,3,4,62.3,55.0,4775,6.22,6.17,3.86
9398,1.15,Premium,3,2,62.0,58.0,4776,6.68,6.77,4.17
9399,1.19,Premium,1,2,62.2,58.0,4777,6.73,6.77,4.2
9400,1.0,Very Good,5,1,61.2,58.0,4777,6.37,6.41,3.91
9401,0.9,Good,4,3,62.8,58.0,4778,6.04,6.09,3.81
9402,1.13,Ideal,4,1,62.3,57.0,4778,6.67,6.61,4.14
9403,0.32,Good,4,2,63.8,59.0,593,4.33,4.29,2.75
9404,0.41,Very Good,2,1,61.5,59.0,593,4.8,4.82,2.96
9405,0.37,Very Good,5,2,61.4,60.0,593,4.6,4.62,2.83
9406,0.36,Very Good,5,2,63.5,58.0,593,4.46,4.49,2.84
9407,0.38,Ideal,1,2,61.9,54.0,593,4.64,4.67,2.88
9408,0.38,Ideal,1,2,61.8,54.0,593,4.66,4.7,2.89
9409,0.31,Ideal,3,2,62.2,55.0,593,4.38,4.36,2.72
9410,0.31,Premium,3,2,61.4,58.0,593,4.35,4.31,2.66
9411,0.31,Premium,3,2,61.8,60.0,593,4.35,4.32,2.68
9412,0.31,Ideal,3,2,62.8,55.0,593,4.38,4.32,2.73
9413,0.31,Premium,3,2,62.1,58.0,593,4.36,4.33,2.7
9414,0.31,Premium,3,2,61.9,56.0,593,4.38,4.34,2.7
9415,0.31,Ideal,3,2,62.2,55.0,593,4.36,4.35,2.71
9416,0.31,Very Good,3,2,63.1,59.0,593,4.33,4.29,2.72
9417,0.31,Premium,3,2,62.6,58.0,593,4.34,4.29,2.7
9418,0.31,Premium,3,2,63.0,58.0,593,4.34,4.3,2.72
9419,0.31,Very Good,3,2,63.2,54.0,593,4.33,4.31,2.73
9420,0.31,Premium,3,2,62.4,55.0,593,4.34,4.31,2.7
9421,0.31,Very Good,3,2,63.2,57.0,593,4.3,4.27,2.71
9422,0.31,Premium,6,1,61.8,60.0,593,4.37,4.33,2.69
9423,0.31,Premium,6,1,60.1,58.0,593,4.4,4.38,2.64
9424,0.31,Good,6,1,63.7,58.0,593,4.3,4.27,2.73
9425,0.31,Premium,6,1,61.5,60.0,593,4.34,4.31,2.66
9426,0.31,Good,3,2,63.6,57.0,593,4.33,4.29,2.74
9427,0.31,Ideal,3,2,63.0,56.0,593,4.34,4.3,2.72
9428,0.31,Premium,3,2,61.5,59.0,593,4.38,4.34,2.68
9429,0.31,Premium,3,2,61.7,55.0,593,4.38,4.37,2.7
9430,1.06,Ideal,3,1,62.2,56.0,4778,6.55,6.48,4.05
9431,1.27,Ideal,0,1,62.6,57.0,4779,6.88,6.85,4.3
9432,1.01,Premium,2,4,61.9,57.0,4779,6.43,6.39,3.97
9433,1.01,Ideal,2,4,61.5,56.0,4779,6.48,6.43,3.97
9434,0.9,Very Good,3,4,62.7,56.0,4780,6.1,6.14,3.84
9435,0.99,Very Good,5,1,61.8,59.0,4780,6.3,6.33,3.9
9436,1.0,Very Good,5,1,62.9,60.0,4781,6.3,6.35,3.98
9437,0.8,Ideal,6,3,61.3,56.0,4781,5.97,6.0,3.67
9438,1.01,Good,3,2,63.3,59.0,4781,6.24,6.31,3.97
9439,1.03,Ideal,1,2,61.1,55.0,4782,6.53,6.57,4.0
9440,1.03,Ideal,1,2,62.2,54.0,4782,6.46,6.5,4.03
9441,0.9,Ideal,2,6,61.9,57.0,4783,6.19,6.24,3.85
9442,1.01,Ideal,3,1,61.5,57.0,4783,6.43,6.45,3.96
9443,1.24,Ideal,0,1,60.1,57.0,4783,7.02,6.98,4.21
9444,1.09,Good,2,2,63.2,57.0,4784,6.54,6.57,4.14
9445,1.09,Ideal,2,2,62.2,56.0,4784,6.56,6.59,4.09
9446,1.09,Ideal,2,2,62.4,55.0,4784,6.59,6.68,4.14
9447,1.09,Ideal,2,2,61.9,56.0,4784,6.61,6.64,4.1
9448,1.09,Very Good,2,2,61.8,58.0,4784,6.58,6.63,4.08
9449,1.14,Very Good,1,3,62.5,59.0,4785,6.63,6.66,4.15
9450,1.06,Very Good,2,2,62.8,58.0,4785,6.47,6.49,4.07
9451,1.06,Premium,2,2,61.6,59.0,4785,6.54,6.55,4.03
9452,1.01,Ideal,6,1,62.6,56.0,4785,6.34,6.4,3.99
9453,1.16,Very Good,2,1,61.8,58.0,4785,6.75,6.81,4.19
9454,1.16,Very Good,1,2,62.7,57.0,4785,6.67,6.76,4.21
9455,1.2,Very Good,1,2,61.7,56.0,4785,6.82,6.76,4.19
9456,1.01,Premium,3,2,61.0,59.0,4785,6.45,6.51,3.95
9457,0.91,Very Good,4,2,62.3,58.0,4785,6.14,6.19,3.84
9458,1.09,Premium,1,4,62.3,54.0,4786,6.65,6.61,4.13
9459,1.01,Ideal,5,1,61.1,59.0,4787,6.53,6.47,3.97
9460,1.0,Premium,2,2,61.3,60.0,4788,6.38,6.35,3.9
9461,1.0,Premium,2,2,59.4,58.0,4788,6.51,6.46,3.85
9462,1.01,Ideal,5,1,62.2,56.0,4788,6.42,6.45,4.0
9463,1.01,Very Good,3,2,59.9,56.0,4788,6.45,6.6,3.91
9464,1.0,Premium,2,2,62.3,60.0,4788,6.38,6.34,3.96
9465,1.0,Good,2,2,63.7,60.0,4788,6.33,6.3,4.02
9466,1.14,Premium,1,2,62.2,58.0,4788,6.7,6.67,4.16
9467,1.14,Premium,1,2,59.1,58.0,4788,6.83,6.81,4.03
9468,1.14,Ideal,2,1,62.6,57.0,4788,6.72,6.63,4.18
9469,1.14,Premium,1,2,60.1,60.0,4788,6.81,6.76,4.08
9470,1.0,Premium,2,2,62.1,56.0,4788,6.48,6.38,3.99
9471,1.0,Premium,2,2,61.5,58.0,4788,6.45,6.37,3.94
9472,1.0,Ideal,2,2,60.3,56.0,4788,6.54,6.52,3.94
9473,1.14,Very Good,1,2,63.5,56.0,4788,6.62,6.58,4.19
9474,1.0,Premium,2,2,62.7,59.0,4788,6.37,6.3,3.97
9475,0.9,Ideal,5,3,62.3,57.0,4788,6.19,6.17,3.85
9476,1.14,Premium,2,1,60.6,59.0,4788,6.8,6.77,4.11
9477,1.14,Ideal,2,2,60.3,57.0,4789,6.79,6.85,4.11
9478,1.24,Very Good,0,1,62.8,58.0,4789,6.77,6.83,4.27
9479,1.08,Very Good,1,4,62.5,57.0,4790,6.51,6.54,4.08
9480,1.01,Premium,5,1,60.4,60.0,4790,6.46,6.49,3.91
9481,0.94,Good,6,2,63.6,56.0,4790,6.25,6.2,3.96
9482,1.1,Very Good,5,2,61.3,58.0,4791,6.64,6.71,4.09
9483,1.21,Very Good,1,1,62.1,59.0,4791,6.8,6.86,4.24
9484,1.21,Very Good,1,1,59.9,58.0,4791,6.91,6.94,4.15
9485,1.04,Very Good,2,2,62.2,57.0,4791,6.42,6.48,4.01
9486,1.24,Premium,1,2,62.4,59.0,4791,6.89,6.87,4.29
9487,0.92,Ideal,5,2,61.0,55.0,4791,6.27,6.25,3.82
9488,1.0,Premium,2,3,63.0,59.0,4791,6.43,6.34,4.02
9489,1.22,Very Good,0,3,61.9,57.0,4793,6.82,6.87,4.24
9490,0.93,Premium,3,4,62.1,59.0,4793,6.21,6.16,3.84
